table_name,column_name,data_type,is_nullable
ab_test,ga_session_id,INT64,YES
ab_test,test,INT64,YES
ab_test,test_group,INT64,YES
account,id,INT64,YES
account,send_interval,INT64,YES
account,is_verified,INT64,YES
account,is_unsubscribed,INT64,YES
account_session,account_id,INT64,YES
account_session,ga_session_id,INT64,YES
email_open,open_date,INT64,YES
email_open,letter_type,INT64,YES
email_open,id_message,STRING,YES
email_open,id_account,INT64,YES
email_sent,sent_date,INT64,YES
email_sent,letter_type,INT64,YES
email_sent,id_message,STRING,YES
email_sent,id_account,INT64,YES
email_visit,visit_date,INT64,YES
email_visit,letter_type,INT64,YES
email_visit,id_message,STRING,YES
email_visit,id_account,INT64,YES
event_params,event_date,STRING,YES
event_params,ga_session_id,INT64,YES
event_params,event_timestamp,INT64,YES
event_params,event_name,STRING,YES
event_params,event_params,"ARRAY<STRUCT<key STRING, value STRUCT<string_value STRING, int_value INT64, float_value FLOAT64, double_value FLOAT64>>>",NO
order,ga_session_id,INT64,YES
order,item_id,INT64,YES
paid_search_cost,date,DATE,YES
paid_search_cost,cost,FLOAT64,YES
product,item_id,INT64,YES
product,name,STRING,YES
product,category,STRING,YES
product,price,FLOAT64,YES
product,short_description,STRING,YES
revenue_predict,date,DATE,YES
revenue_predict,predict,FLOAT64,YES
session,date,DATE,YES
session,ga_session_id,INT64,YES
session_params,ga_session_id,INT64,YES
session_params,device,STRING,YES
session_params,mobile_model_name,STRING,YES
session_params,operating_system,STRING,YES
session_params,language,STRING,YES
session_params,browser,STRING,YES
session_params,continent,STRING,YES
session_params,country,STRING,YES
session_params,medium,STRING,YES
session_params,name,STRING,YES
session_params,channel,STRING,YES
